dnaSampleID	sequencerRunID	internalLabID	rawDataFileName	rawDataFileDescription	rawDataFilePath	checkSum
BART_004-O-27-36-20140619-GEN-DNA1	run20150522	NA	BART_004-O-27-36-20140619-gen_R1.fastq.gz	Forward reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/BART_004-O-27-36-20140619-gen_R1.fastq.gz	2861c8881cc1587613efd0f228e67882
BART_004-O-27-36-20140619-GEN-DNA1	run20150522	NA	BART_004-O-27-36-20140619-gen_R2.fastq.gz	Reverse reads from Illumina bidirectional sequencing run	https://storage.neonscience.org/neon-microbial-raw-seq-files/2017/BART_004-O-27-36-20140619-gen_R2.fastq.gz	e2588a53f021e385cdfbec659d748650
HARV_033-O-20190715-COMP-DNA1	H25VYBGXH	19S_26_2422	BMI_H25VYBGXH_19S_26WellA10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellA10_R2.fastq.gz	f8c2f8c6be7a328454641519e832df44
HARV_033-O-20190715-COMP-DNA1	H25VYBGXH	19S_26_2422	BMI_H25VYBGXH_19S_26WellA10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellA10_R1.fastq.gz	4e363b05e071b7e58b92281a98876ec7
HARV_037-O-20190715-COMP-DNA1	H25VYBGXH	19S_26_2425	BMI_H25VYBGXH_19S_26WellD10_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellD10_R2.fastq.gz	f412453daf7921f0861be4e8c23cfa1d
HARV_037-O-20190715-COMP-DNA1	H25VYBGXH	19S_26_2425	BMI_H25VYBGXH_19S_26WellD10_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellD10_R1.fastq.gz	90685120e5058be07daebba1ae1f44a6
HARV_005-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2419	BMI_H25VYBGXH_19S_26WellF9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellF9_R2.fastq.gz	7ceaba60bd2ef44f56ff1460117b04ab
HARV_005-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2419	BMI_H25VYBGXH_19S_26WellF9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellF9_R1.fastq.gz	abf0779a1b86e3d362fd309b79b53961
HARV_002-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2417	BMI_H25VYBGXH_19S_26WellD9_R1.fastq.gz	R1 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R1/BMI_H25VYBGXH_19S_26WellD9_R1.fastq.gz	f4b283cd9cde9f4e0e445c404f8eb8b9
HARV_002-O-20190716-COMP-DNA1	H25VYBGXH	19S_26_2417	BMI_H25VYBGXH_19S_26WellD9_R2.fastq.gz	R2 metagenomic archive of fastq files	https://storage.neonscience.org/neon-microbial-raw-seq-files/2021/BMI_H25VYBGXH_mms_R2/BMI_H25VYBGXH_19S_26WellD9_R2.fastq.gz	57ecbca182883c02aad3d347908d99c3
